universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,today_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSPI200,001440,대한전선,55.4,신규 돌파,,,30250.0,28660.83,-11.11,5.54,8.15,-4.42,,2026-09-18,1,N,1.66,0.0,-4.42,-381.4,-42.4,-96.2,-40.2,-38137156550,-4240110375,-9624190350,-4016347675
KOSPI200,051900,LG생활건강,55.2,돌파 후 눌림목,,건강한 눌림,299000.0,280483.33,7.7,6.6,-1.73,-1.16,,,,Y,0.98,0.0,1.87,-10.5,34.8,-39.8,59.3,-1046684500,3479020500,-3978455250,5930378250
KOSPI200,011170,롯데케미칼,55.0,돌파 후 눌림목,,건강한 눌림,64000.0,60000.0,-7.72,6.67,-0.81,-5.6,,,,Y,1.01,0.0,0.63,-38.6,43.8,-68.9,87.0,-3863423350,4377870600,-6888895200,8699471950
KOSDAQ150,100790,미래에셋벤처투자,55,신규 돌파 유지,,,16940.0,15534.33,-28.56,9.05,3.99,-4.13,,2026-09-15,4,Y,1.51,0.0,-4.13,-23.1,-1.9,-7.6,-2.3,-2314151945,-190640735,-759857490,-231115105
KOSPI200,285130,SK케미칼,55,돌파 후 눌림목,,건강한 눌림,51300.0,45663.33,8.59,12.34,-7.11,-6.56,,,,Y,0.49,0.0,0.2,0.6,2.4,2.5,-1.0,64615000,241122750,246029450,-102235900
KOSPI200,000880,한화,55,돌파 후 눌림목,,추가 확인,132200.0,117007.58,-2.75,12.98,-4.95,-6.9,,,,Y,0.47,0.0,-1.42,1.9,1.3,-22.4,7.6,188648900,125490600,-2237258250,759068600
KOSDAQ150,131290,티에스이,55,신규 돌파 유지,,,269500.0,238036.67,2.82,13.22,10.72,-12.07,,2026-09-15,4,Y,0.51,0.0,10.91,-29.9,19.0,-103.3,33.1,-2994972250,1898063500,-10327979750,3314343500
KOSPI200,112610,씨에스윈드,55,돌파 후 눌림목,,건강한 눌림,50400.0,44471.67,4.15,13.33,-5.51,-4.91,,,,Y,1.05,0.0,-2.7,0.8,4.1,-10.6,29.7,75167575,408705900,-1059813975,2966835300
KOSPI200,088350,한화생명,55,돌파 후 눌림목,,추가 확인,5760.0,5017.08,6.07,14.81,-3.6,-5.26,,,,Y,0.63,0.0,-2.21,0.6,3.8,-48.8,5.7,56839750,377391500,-4880928475,574841045
KOSDAQ150,183300,코미코,55,신규 돌파 유지,,,31700.0,26727.58,-15.34,18.6,15.93,0.0,,2026-09-16,3,Y,1.13,0.0,2.76,-34.9,29.2,-21.8,83.1,-3493489375,2918929850,-2179868575,8313577650
KOSPI200,161890,한국콜마,55,돌파 후 눌림목,,건강한 눌림,145900.0,122893.33,20.58,18.72,-6.61,-2.86,,,,Y,0.68,0.0,0.27,22.5,25.0,32.1,-4.9,2253040300,2496091650,3209400450,-487178050
KOSDAQ150,241710,코스메카코리아,55,돌파 후 눌림목,,건강한 눌림,130400.0,106415.0,25.75,22.54,-9.96,-4.54,,,,Y,0.69,0.0,-1.29,11.6,0.6,11.2,9.7,1160538100,59581100,1119969250,973543550
KOSPI200,192820,코스맥스,55,돌파 후 눌림목,,건강한 눌림,274500.0,223376.67,20.72,22.89,-6.26,-2.14,,,,Y,0.55,0.0,0.18,11.5,11.9,30.7,7.2,1152551250,1193924750,3073991750,719437750
KOSDAQ150,043260,성호전자,55,신규 돌파 유지,,,27150.0,19116.0,-28.04,42.03,44.49,0.0,,2026-09-17,2,Y,3.0,0.0,2.84,-38.7,-39.9,-104.7,15.2,-3873864000,-3989366050,-10471637475,1520997775
KOSPI200,022100,포스코DX,54.1,60일선 위 추세,,,20550.0,20488.83,-9.78,0.3,-3.14,-7.22,,,,Y,0.14,0.0,-1.91,-12.2,3.9,-34.3,10.2,-1224675350,393295475,-3426867525,1021161350
KOSDAQ150,214430,아이쓰리시스템,54.0,신규 돌파,,,65300.0,61603.33,-4.98,6.0,9.53,0.0,,2026-09-18,1,N,1.08,0.0,4.98,-2.0,0.4,-4.8,0.6,-200131000,41724850,-482553900,56677200
KOSPI200,280360,롯데웰푸드,52.5,돌파 후 눌림목,,건강한 눌림,127500.0,118613.33,10.96,7.49,-4.79,-11.89,,,,Y,0.55,0.0,0.31,-1.6,3.1,-0.1,0.2,-158902450,313966400,-12001250,15020450
KOSDAQ150,122870,와이지엔터테인먼트,52.0,돌파 후 눌림목,,매도압력 확인,43700.0,41227.5,-1.26,6.0,-2.44,-2.35,,,,Y,0.82,0.0,0.23,-7.9,-10.5,-25.2,-12.7,-786853275,-1052843525,-2521018100,-1265687375
KOSDAQ150,036830,솔브레인홀딩스,52.0,돌파 후 눌림목,,건강한 눌림,40300.0,37430.83,-1.48,7.67,-2.95,-8.62,,,,Y,0.86,0.0,-2.66,4.8,-0.2,5.4,0.3,482637700,-18403525,535775175,27324850
KOSPI200,002790,아모레퍼시픽홀딩스,50.4,60일선 위 추세,,,26600.0,25364.17,5.14,4.87,0.05,-0.37,,,,Y,1.71,0.0,2.11,6.7,3.1,-11.7,16.3,674770075,308792675,-1169806900,1632805675
KOSPI200,012450,한화에어로스페이스,50.1,60일선 위 추세,,,1074000.0,1039566.67,-0.7,3.31,1.59,-5.21,,,,Y,1.24,0.0,-1.65,-401.8,182.9,-486.6,217.5,-40182097500,18288421000,-48658108500,21746717000
KOSPI200,090430,아모레퍼시픽,50,돌파 후 눌림목,,건강한 눌림,144700.0,131365.0,9.84,10.15,-2.14,-0.14,,,,Y,0.72,0.0,1.4,-84.6,140.7,-127.4,182.3,-8464844000,14068062250,-12737160050,18226539750
KOSDAQ150,041510,에스엠,50,돌파 후 눌림목,,추가 확인,83400.0,75095.0,1.02,11.06,-6.44,-4.9,,,,Y,1.06,0.0,2.21,-11.9,13.2,-46.9,7.3,-1186193400,1324989600,-4692206850,727700300
